totalArea,Ecc,EquivlentDiameter,weightedX,weightedY,Rectangularity,Circularity,Elongation,EulerNumber,Class
21,0,5.170883,32,32,0.84,0.70676,1,1,0
706,0.625607,29.98178,37.862606,26.498584,0.760776,1.136793,0.90625,1,0
1482,0.816583,43.438934,40.761134,41.200405,0.43308,2.102725,0.983051,1,0
34,0.776078,6.579525,31.5,32.705882,0.85,0.904356,0.625,1,0
378,0.876697,21.938198,24.468254,29.613757,0.461538,3.788853,0.538462,0,0
41,0.903905,7.225152,31.390244,33.756098,0.621212,1.411843,0.545455,1,0
515,0.944978,25.606998,31.24466,31.16699,0.471612,4.033939,0.403846,1,0
0,0,0,0,0,0,0,0,0,0
89,0.33363,10.645108,32.460674,30,0.735537,1.042273,1,1,0
46,0.690286,7.65304,29.152174,31.434783,0.730159,0.893618,0.777778,1,0
30,0.517432,6.180387,31.3,31.9,0.714286,0.849866,0.857143,1,0
147,0.282334,13.68087,32.272109,32.353741,0.75,1.066451,1,1,0
287,0.986194,19.115955,42.658537,33.627178,0.398611,3.175227,0.355556,1,0
0,0,0,0,0,0,0,0,0,0
719,0.483899,30.256557,43.499305,34.37274,0.748958,1.095684,0.9375,1,0
0,0,0,0,0,0,0,0,0,0
78,0.867264,9.965575,30.128205,33.461538,0.5,1.3687,0.923077,1,0
95,0.36341,10.99808,32.147368,32.126316,0.785124,0.943226,1,1,0
329,0.60479,20.466944,38.896657,25.006079,0.679752,1.322411,1,1,0
9,0.694588,3.385138,31.333333,31.888889,0.75,0.600731,0.75,1,0
402,0.396694,22.623932,30.430348,34.50995,0.594675,1.693651,1,0,0
369,0.831113,21.675456,37.203252,31.230352,0.476129,2.709226,0.806452,1,0
58,0.695049,8.59348,31.206897,32.189655,0.725,0.937658,0.8,1,0
44,0.613224,7.484821,32.227273,31.818182,0.6875,0.8867,1,1,0
44,0.596415,7.484821,31.977273,33.681818,0.785714,0.867373,0.875,1,0
21,0,5.170883,32,31,0.84,0.70676,1,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
50,0.622815,7.978846,34.06,31.96,0.793651,0.865053,0.777778,1,0
48,0.786708,7.81764,31.833333,32.520833,0.685714,1.062332,0.7,1,0
28,0.884998,5.970821,30.357143,32.714286,0.518519,1.216896,0.666667,1,0
91,0.647271,10.764051,32.153846,33.78022,0.758333,0.984687,0.833333,1,0
972,0.715256,35.179381,47.282922,36.36214,0.718404,1.850234,0.804878,-1,0
40,0.592023,7.136496,32.025,31.925,0.816327,0.834861,1,1,0
0,0,0,0,0,0,0,0,0,0
389,0.635933,22.255116,34.748072,27.347044,0.676522,1.307317,0.92,1,0
119,0.603511,12.309163,31.97479,29.394958,0.772727,1.141383,0.785714,1,0
293,0.922115,19.31474,35.191126,34.522184,0.385526,3.008892,0.475,1,0
10,0.616441,3.568248,31.3,32.3,0.625,0.654797,1,1,0
555,0.837931,26.582851,31.095495,32.345946,0.789474,1.329254,0.513514,1,0
70,0.646892,9.440697,33.942857,34.085714,0.707071,0.954127,0.818182,1,0
667,0.674672,29.141908,25.845577,26.103448,0.69697,1.214919,0.878788,1,0
34,0.786236,6.579525,30.176471,29.794118,0.85,0.904356,0.625,1,0
78,0.676477,9.965575,33.25641,33.448718,0.65,1.148801,0.833333,1,0
0,0,0,0,0,0,0,0,0,0
10,0.790569,3.568248,30.5,32,0.833333,0.620236,0.75,1,0
14,0.862366,4.222008,30.857143,30.5,0.583333,0.740549,0.666667,1,0
550,0.461168,26.462837,32.018182,32.201818,0.754458,1.101556,1,1,0
4,0,2.256758,20.5,47.5,1,0.31831,1,1,0
6,0.6742,2.763953,31.833333,31.166667,0.666667,0.516863,1,1,0
133,0.722554,13.013103,33.62406,32.81203,0.692708,1.147801,0.75,1,0
19,0.520704,4.918491,30.842105,32.842105,0.76,0.715581,1,1,0
86,0.680727,10.464158,29.046512,33.255814,0.716667,1.094017,0.833333,1,0
427,0.476798,23.316803,36.896956,34.941452,0.585734,2.254299,1,1,0
0,0,0,0,0,0,0,0,0,0
259,0.666908,18.159544,31.899614,35,0.397849,3.658386,0.677419,1,0
367,0.396341,21.616635,33.141689,40.847411,0.794372,1.089055,0.954545,1,0
33,0.632638,6.482045,31.484848,31.090909,0.785714,0.824002,0.857143,1,0
263,0.939176,18.299235,28.026616,22.34981,0.346053,3.024347,0.475,1,0
41,0.868498,7.225152,29.707317,31.926829,0.585714,1.301934,0.7,1,0
213,0.664448,16.468152,29.140845,30.605634,0.788889,1.105007,0.833333,1,0
34,0.931334,6.579525,33.117647,33.735294,0.485714,0.923513,0.7,1,0
1023,0.81061,36.090498,44.687195,26.608016,0.433475,9.61051,0.677966,-4,0
234,0.730612,17.260882,32.470085,29.923077,0.63587,1.207918,0.695652,1,0
29,0.694321,6.076508,31.172414,31.896552,0.828571,0.799675,0.714286,1,0
687,0.69189,29.575591,42.557496,20.92722,0.577311,2.121458,0.971429,1,0
121,0.421492,12.412171,31.190083,33.165289,0.775641,1.029052,0.923077,1,0
95,0.866479,10.99808,32.063158,29.926316,0.487179,1.437121,0.866667,1,0
41,0.801262,7.225152,32.487805,33.390244,0.650794,1.002595,0.777778,1,0
34,0.46786,6.579525,31.5,31.294118,0.809524,0.799767,0.857143,1,0
0,0,0,0,0,0,0,0,0,0
158,0.839522,14.183506,33.563291,32.208861,0.692982,1.439208,0.631579,1,0
458,0.553159,24.148369,32.008734,32.980349,0.765886,1.078056,0.884615,1,0
13,0.784101,4.068429,30.307692,32,0.866667,0.717757,0.6,1,0
0,0,0,0,0,0,0,0,0,0
7,0.377964,2.985411,32,31.285714,0.777778,0.53007,1,1,0
680,0.682838,29.424529,42.305882,32.819118,0.651341,1.452205,0.805556,1,0
71,0.712368,9.507892,31.014085,29.295775,0.806818,0.963104,0.727273,1,0
0,0,0,0,0,0,0,0,0,0
33,0.788196,6.482045,33.333333,32.272727,0.673469,0.899513,1,1,0
541,0.555181,26.24543,42.014787,32.748614,0.746207,1.083873,0.862069,1,0
9,0.694588,3.385138,33.111111,32.666667,0.75,0.600731,0.75,1,0
92,0.552718,10.823033,33.271739,31.782609,0.766667,0.973984,0.833333,1,0
96,0.794101,11.055813,29.4375,31.5625,0.685714,1.133003,0.714286,1,0
377,0.682275,21.90916,32.525199,32.899204,0.628333,1.463079,0.96,1,0
1511,0.727961,43.861885,19.636003,20.685639,0.503667,4.464151,0.833333,-3,0
870,0.627916,33.282404,32.113793,30.726437,0.73854,1.183309,0.815789,1,0
56,0.899938,8.444016,31.25,30.964286,0.666667,1.291071,0.583333,1,0
26,0.717525,5.753627,31.961538,32.307692,0.742857,0.831782,0.714286,1,0
24,0.584987,5.527906,31.875,32.666667,0.8,0.753125,0.833333,1,0
255,0.592871,18.01877,31.976471,31.976471,0.671053,1.2484,0.95,1,0
39,0.802155,7.046726,31.384615,31.846154,0.696429,0.926923,0.875,1,0
0,0,0,0,0,0,0,0,0,0
22,0.908511,5.292567,29.954545,32.136364,0.6875,1.075412,0.5,1,0
12,0,3.90882,31.5,30.5,0.75,0.618415,1,1,0
144,0.809157,13.54055,31.645833,32.069444,0.666667,1.141845,0.666667,1,0
45,0.777744,7.569398,31.577778,32.266667,0.714286,1.010078,0.777778,1,0
323,0.648261,20.279457,31.96904,31.346749,0.690171,1.551458,0.692308,1,0
40,0.592023,7.136496,32.025,32.075,0.816327,0.834861,1,1,0
11,0.708444,3.74241,2.909091,9.363636,0.916667,0.641159,0.75,1,0
54,0.789115,8.29186,31.740741,32.351852,0.75,0.944296,0.888889,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
874,0.432418,33.358827,26.524027,22.932494,0.756055,1.262198,1,1,0
17,0.815319,4.652426,32.588235,31.705882,0.566667,0.904356,0.833333,1,0
0,0,0,0,0,0,0,0,0,0
1069,0.619844,36.892995,28.217025,37.159963,0.668125,1.444417,1,1,0
117,0.827302,12.205287,33.111111,31.940171,0.8125,1.095987,0.5625,1,0
519,0.717622,25.706251,40.882466,33.115607,0.643921,1.391223,0.83871,1,0
34,0.627743,6.579525,32.5,31,0.809524,0.799767,0.857143,1,0
163,0.840835,14.406181,30.02454,31.306748,0.582143,1.364653,0.7,1,0
1113,0.692236,37.644596,27.632525,34.216532,0.674545,1.770482,0.66,1,0
866,0.363981,33.205804,33.122402,44.551963,0.773214,1.113563,0.914286,1,0
29,0.516245,6.076508,31.275862,32.344828,0.805556,0.799675,1,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
951,0.695916,34.797282,25.010515,42.093586,0.642568,2.018054,0.925,1,0
2434,0.542498,55.669247,35.343878,33.178718,0.633359,1.408782,0.968254,1,0
14,0.629289,4.222008,31.214286,31.642857,0.7,0.696692,0.8,1,0
46,0.813106,7.65304,31.717391,30.652174,0.657143,1.008286,0.7,1,0
857,0.602238,33.032806,24.352392,41.332555,0.627839,1.476271,0.897436,1,0
197,0.60678,15.837556,31.045685,33.106599,0.648026,1.226951,0.842105,1,0
118,0.495229,12.257335,31.364407,32.025424,0.702381,1.113132,0.857143,1,0
128,0.69307,12.766153,33,32.695313,0.444444,2.484253,0.888889,1,0
525,0.705771,25.854415,38.48,26.752381,0.651365,1.290058,0.83871,1,0
34,0.627743,6.579525,32,31.5,0.809524,0.799767,0.857143,1,0
42,0.660732,7.312733,31.97619,32.404762,0.666667,0.978724,0.777778,1,0
197,0.619596,15.837556,32.908629,35.116751,0.608025,1.42795,1,1,0
127,0.787346,12.716187,32.732283,31.976378,0.721591,1.064288,0.6875,1,0
32,0.436482,6.383076,31.625,30.21875,0.888889,0.827591,1,1,0
34,0.508256,6.579525,31.735294,32,0.809524,0.799767,0.857143,1,0
0,0,0,0,0,0,0,0,0,0
1165,0.671091,38.513946,30.911588,31.370815,0.660431,1.320779,1,1,0
36,0.543906,6.770275,31.611111,30.138889,0.857143,0.803966,0.857143,1,0
897,0.647255,33.794909,30.138239,36.629877,0.463566,2.635777,0.955556,1,0
550,0.461168,26.462837,32.018182,32.201818,0.754458,1.101556,1,1,0
9,0.694588,3.385138,31.888889,31.333333,0.75,0.600731,0.75,1,0
89,0.600189,10.645108,31.898876,32.101124,0.741667,0.97197,0.833333,1,0
24,0.795566,5.527906,31.333333,32.083333,0.685714,0.901097,0.714286,1,0
86,0.574986,10.464158,31.244186,34.790698,0.551282,1.363357,0.923077,1,0
143,0.459664,13.493452,31.237762,32.797203,0.785714,0.972267,0.928571,1,0
508,0.898092,25.432375,12.476378,38.501969,0.391975,4.676513,1,-1,0
7,0.377964,2.985411,32,32.285714,0.777778,0.53007,1,1,0
23,0.657792,5.411516,32.043478,32.608696,0.766667,0.785869,0.833333,1,0
256,0.837789,18.054067,39.175781,38.179688,0.703297,1.428883,0.538462,1,0
25,0.693235,5.641896,31,30.84,0.694444,0.865053,1,1,0
57,0.84372,8.519076,31.614035,31.649123,0.518182,1.288924,0.909091,1,0
98,0.368834,11.170384,33.173469,30.153061,0.809917,0.979313,1,1,0
811,0.476366,32.134052,32.699137,31.541307,0.750926,1.189082,0.833333,1,0
323,0.648261,20.279457,31.96904,39.346749,0.690171,1.551458,0.692308,1,0
0,0,0,0,0,0,0,0,0,0
809,0.784405,32.094404,43.97775,25.10754,0.632031,1.323209,0.8,1,0
45,0.704086,7.569398,32.333333,33.244444,0.703125,0.913476,1,1,0
4,0,2.256758,46.5,41.5,1,0.31831,1,1,0
42,0.560359,7.312733,31.214286,32.166667,0.65625,0.928923,1,1,0
575,0.380102,27.057582,22.163478,27.634783,0.528493,2.662822,0.941176,0,0
67,0.803216,9.236182,31.761194,32.253731,0.761364,0.98022,0.727273,1,0
6,0.6742,2.763953,31.833333,32.166667,0.666667,0.516863,1,1,0
22,0.898907,5.292567,31.045455,30.272727,0.52381,1.127701,0.857143,1,0
208,0.584365,16.273716,32.307692,31.75,0.719723,1.069415,1,1,0
10,0.790569,3.568248,33,30.5,0.833333,0.620236,0.75,1,0
184,0.566552,15.30608,31.956522,31.461957,0.676471,1.126734,0.941176,1,0
925,0.876939,34.318313,21.356757,31.767568,0.350379,3.689687,0.872727,1,0
10,0.800471,3.568248,31.8,32.4,0.625,0.568169,1,1,0
218,0.420873,16.660319,32.165138,32.807339,0.756944,1.066082,0.888889,1,0
169,0.726399,14.668929,36.704142,33.094675,0.586806,2.708365,0.888889,-1,0
413,0.801226,22.931374,35.48184,32.01937,0.347351,3.941153,0.707317,1,0
286,0.558962,19.082623,32.013986,27.63986,0.654462,1.188465,0.826087,1,0
307,0.688504,19.7708,29.967427,31.846906,0.73445,1.196512,0.863636,1,0
79,0.708335,10.029253,30.620253,31.21519,0.607692,1.303339,0.769231,1,0
110,0.897691,11.834541,29.281818,41.390909,0.384615,4.328905,0.590909,1,0
1115,0.468096,37.678404,26.461883,45.13722,0.838346,1.278472,0.921053,1,0
48,0.472273,7.81764,32.125,30.770833,0.857143,0.882438,0.875,1,0
8,0.612372,3.191538,30.125,31.875,0.888889,0.546802,1,1,0
254,0.635539,17.983405,26.783465,31.145669,0.622549,1.319838,0.708333,1,0
79,0.946268,10.029253,29.405063,34.594937,0.49375,1.548915,0.625,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
8,0.57735,3.191538,32,30.5,0.666667,0.583178,0.75,1,0
0,0,0,0,0,0,0,0,0,0
26,0.80035,5.753627,32,32.115385,0.722222,0.954209,1,1,0
1019,0.525715,36.019871,32.183513,38.779195,0.655727,1.855931,0.880952,1,0
68,0.835935,9.304853,32.088235,31.941176,0.747253,1.063235,0.538462,1,0
267,0.701152,18.437868,30.191011,25.76779,0.610984,1.967783,0.826087,1,0
70,0.713697,9.440697,32.142857,31.8,0.795455,0.938211,0.727273,1,0
61,0.807176,8.812923,30.721311,31.688525,0.72619,1.033176,0.583333,1,0
7,0.377964,2.985411,33,34.285714,0.777778,0.53007,1,1,0
24,0.584987,5.527906,31.666667,31.875,0.8,0.753125,0.833333,1,0
656,0.617674,28.900608,26.193598,42.891768,0.705376,1.111922,0.967742,1,0
354,0.407737,21.230327,24.050847,28.596045,0.699605,1.209624,0.956522,1,0
1065,0.494531,36.823907,32.78216,32.569014,0.78022,1.203494,0.897436,1,0
49,0.843586,7.898654,32.183673,30.959184,0.7,1.040652,0.7,1,0
0,0,0,0,0,0,0,0,0,0
83,0.634269,10.280023,31.831325,31.975904,0.768519,0.990516,0.75,1,0
0,0,0,0,0,0,0,0,0,0
696,0.829387,29.768687,37.918103,34.899425,0.421818,5.235859,0.545455,0,0
0,0,0,0,0,0,0,0,0,0
58,0.519183,8.59348,31.862069,30.37931,0.716049,0.98015,1,1,0
16,0.66423,4.513517,31.1875,33.8125,0.8,0.745453,0.8,1,0
12,0,3.90882,30.5,32.5,0.75,0.618415,1,1,0
462,0.677938,24.253591,41.729437,31.119048,0.515625,2.149266,0.875,1,0
14,0.953442,4.222008,32.285714,32.142857,0.666667,0.767667,0.428571,1,0
272,0.727356,18.609706,33.356618,38.783088,0.566667,1.346483,0.833333,1,0
24,0.681156,5.527906,31.25,31.375,0.685714,0.838196,0.714286,1,0
6,0.6742,2.763953,32.166667,31.833333,0.666667,0.516863,1,1,0
0,0,0,0,0,0,0,0,0,0
16,0.57735,4.513517,32,31.5,0.8,0.675823,0.8,1,0
28,0.954607,5.970821,31.678571,29.5,0.7,1.332978,0.4,1,0
5,0,2.523133,32,32,0.555556,0.509296,1,1,0
335,0.90049,20.65273,36.767164,30.892537,0.463989,3.886564,0.5,0,0
0,0,0,0,0,0,0,0,0,0
305,0.759116,19.706295,30.67541,33.232787,0.418956,2.713263,0.928571,0,0
8,0.894427,3.191538,31.5,32.5,1,0.63662,0.5,1,0
0,0,0,0,0,0,0,0,0,0
36,0.801523,6.770275,31.444444,31.555556,0.666667,1.004166,0.666667,1,0
690,0.634938,29.640096,26.537681,21.204348,0.794931,1.111784,0.903226,1,0
330,0.632415,20.498026,31.430303,31.493939,0.535714,2.219939,0.785714,1,0
667,0.674672,29.141908,25.845577,26.103448,0.69697,1.214919,0.878788,1,0
15,0.552682,4.370194,31.733333,31.666667,0.75,0.720878,0.8,1,0
313,0.614293,19.963065,35.044728,35.204473,0.790404,1.050643,0.818182,1,0
57,0.551356,8.519076,31.561404,32.140351,0.7125,0.997346,0.8,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
5,0,2.523133,32,32,0.555556,0.509296,1,1,0
14,0.973705,4.222008,31.142857,33.214286,0.583333,1.14729,0.375,1,0
488,0.783267,24.926711,29.715164,22.47541,0.341737,3.680078,0.809524,1,0
93,0.628842,10.881695,34.247312,31.150538,0.715385,1.117725,0.769231,1,0
107,0.907156,11.672045,26.859813,31.140187,0.557292,1.388799,0.75,1,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
104,0.445273,11.507255,32.682692,33.596154,0.666667,1.299659,0.923077,1,0
209,0.805208,16.312788,31.5311,30.430622,0.765568,1.185486,0.619048,1,0
44,0.618413,7.484821,31.340909,33.022727,0.698413,0.8867,0.777778,1,0
773,0.494783,31.372188,42.785252,36.967658,0.715741,1.113098,0.833333,1,0
24,0.757975,5.527906,31.791667,31.666667,0.666667,0.838196,1,1,0
2,1,1.595769,31.5,31,1,0,0.5,1,0
595,0.460831,27.524126,37.020168,26.112605,0.732759,1.113743,0.965517,1,0
102,0.768596,11.396071,30.95098,33.392157,0.713287,1.100416,0.846154,1,0
675,0.511827,29.316151,24.014815,20.395556,0.620404,2.848421,0.941176,-1,0
54,0.943712,8.29186,27.740741,30.166667,0.3375,2.281756,0.625,1,0
734,0.587835,30.570539,36.787466,21.211172,0.719608,1.381333,0.882353,1,0
405,0.891054,22.708193,13.409877,52.219753,0.399015,8.786675,0.828571,-3,0
25,0.644191,5.641896,32.04,32.24,0.833333,0.780296,0.833333,1,0
96,0.745641,11.055813,31.604167,32.78125,0.738462,1.047981,0.769231,1,0
11,0.708444,3.74241,32.363636,32.090909,0.916667,0.641159,0.75,1,0
0,0,0,0,0,0,0,0,0,0
16,0.57735,4.513517,32,31.5,0.8,0.675823,0.8,1,0
21,0,5.170883,32,32,0.84,0.70676,1,1,0
49,0.706601,7.898654,31.816327,31.816327,0.765625,0.882707,1,1,0
43,0.700032,7.399277,32.186047,32.72093,0.767857,0.935661,0.875,1,0
857,0.858437,33.032806,39.183197,18.312719,0.538655,2.373613,0.860465,1,0
481,0.753171,24.747287,41.068607,38.804574,0.674614,1.335336,0.741935,1,0
0,0,0,0,0,0,0,0,0,0
71,0.692033,9.507892,31.478873,32.309859,0.645455,1.116106,0.909091,1,0
55,0.573948,8.368284,31.854545,31.636364,0.763889,0.884714,0.888889,1,0
97,0.662847,11.113246,33.28866,31.525773,0.734848,1.051381,0.916667,1,0
711,0.794149,30.08776,33.427567,27.732771,0.433537,2.510951,0.97561,1,0
318,0.703226,20.121883,31.691824,31.641509,0.657025,1.224132,1,1,0
373,0.402512,21.792621,31.753351,31.096515,0.705104,1.222519,1,1,0
443,0.66581,23.749634,31.715576,32.683973,0.694357,1.548326,0.758621,1,0
363,0.666927,21.498511,33.92562,31.22865,0.390323,4.767375,0.967742,-1,0
52,0.708608,8.136858,30.653846,33.807692,0.577778,1.409557,0.9,1,0
19,0.895086,4.918491,30.631579,31,0.678571,0.849606,0.571429,1,0
52,0.794842,8.136858,30.846154,31.211538,0.65,1.211995,0.8,1,0
14,0.973705,4.222008,31.142857,33.214286,0.583333,1.14729,0.375,1,0
5,0,2.523133,34,34,0.555556,0.509296,1,1,0
13,0.523557,4.068429,31.384615,30.615385,0.8125,0.642201,1,1,0
22,0.53675,5.292567,31.818182,32,0.733333,0.821591,0.833333,1,0
0,0,0,0,0,0,0,0,0,0
46,0.594962,7.65304,31.869565,32.869565,0.821429,0.920805,0.875,1,0
36,0.609994,6.770275,32.5,31.5,0.75,0.824554,0.75,1,0
121,0.82411,12.412171,29.975207,32.669421,0.647059,1.27565,0.647059,1,0
3,0.816497,1.95441,31.333333,32.666667,0.75,0.309208,1,1,0
133,0.722554,13.013103,33.62406,32.81203,0.692708,1.147801,0.75,1,0
24,0.584987,5.527906,32.125,32.333333,0.8,0.753125,0.833333,1,0
541,0.526446,26.24543,38.086876,25.761553,0.746207,1.069131,0.862069,1,0
533,0.760196,26.050656,39.834897,38.499062,0.57684,1.545423,0.848485,1,0
280,0.51938,18.881395,31.757143,31.985714,0.666667,1.248686,0.952381,1,0
381,0.757363,22.025083,41.44357,38.301837,0.505305,2.112465,0.896552,1,0
80,0.522034,10.09253,30.8875,32.0625,0.808081,0.939218,0.818182,1,0
326,0.459204,20.373416,32.361963,35.791411,0.503086,2.494199,0.888889,1,0
104,0.653257,11.507255,31.826923,31.278846,0.619048,1.14169,0.857143,1,0
0,0,0,0,0,0,0,0,0,0
1014,0.319651,35.931392,32.575937,31.650888,0.742857,1.456359,0.897436,1,0
190,0.777691,15.553633,31.878947,29.1,0.659722,1.331559,0.888889,1,0
0,0,0,0,0,0,0,0,0,0
395,0.717481,22.426092,32.470886,32.997468,0.498737,1.835919,0.727273,1,0
321,0.6055,20.216575,24.121495,36.352025,0.775362,1.097185,0.782609,1,0
606,0.762321,27.777386,39.105611,36.235974,0.467593,2.007395,1,1,0
0,0,0,0,0,0,0,0,0,0
177,0.806552,15.012108,31.378531,30.090395,0.614583,1.353592,0.888889,1,0
0,0,0,0,0,0,0,0,0,0
8,0.57735,3.191538,32,31.5,0.666667,0.583178,0.75,1,0
701,0.68698,29.875423,32.540656,29.987161,0.57412,2.331004,0.891892,1,0
1521,0.764613,44.006788,20.275477,42.091387,0.437069,2.213351,0.966667,1,0
45,0.704086,7.569398,32.333333,33.244444,0.703125,0.913476,1,1,0
97,0.662847,11.113246,33.28866,31.525773,0.734848,1.051381,0.916667,1,0
10,0.612372,3.568248,32.2,32,0.833333,0.620236,0.75,1,0
36,0.714883,6.770275,31.611111,31.666667,0.75,0.87533,0.75,1,0
61,0.525278,8.812923,32,31.95082,0.753086,0.891543,1,1,0
0,0,0,0,0,0,0,0,0,0
399,0.295416,22.539356,33.431078,30.556391,0.754253,1.039193,1,1,0
21,0,5.170883,33,32,0.84,0.70676,1,1,0
54,0.31716,8.29186,33.277778,34.037037,0.75,0.901097,0.888889,1,0
62,0.452709,8.884866,31.870968,31.258065,0.765432,0.916914,1,1,0
234,0.730612,17.260882,32.470085,29.923077,0.63587,1.207918,0.695652,1,0
124,0.887434,12.565099,32.387097,32.370968,0.435088,1.754327,0.789474,1,0
16,0.903869,4.513517,31.8125,31.1875,0.571429,0.951077,0.571429,1,0
1052,0.488062,36.59847,37.107414,18.5827,0.754663,1.286783,0.829268,1,0
2,1,1.595769,34,32.5,1,0,0.5,1,0
732,0.595208,30.528861,29.416667,27.795082,0.821549,1.217822,0.818182,1,0
1045,0.783995,36.476504,20.466986,19.226794,0.55,1.903177,0.76,1,0
925,0.533651,34.318313,25.617297,36.078919,0.683666,1.340156,0.804878,1,0
34,0.508256,6.579525,32,31.735294,0.809524,0.799767,0.857143,1,0
8,0.612372,3.191538,31.875,31.875,0.888889,0.546802,1,1,0
35,0.891143,6.675581,31.4,32.142857,0.486111,1.090411,0.888889,1,0
0,0,0,0,0,0,0,0,0,0
965,0.690191,35.052477,20.872539,31.981347,0.511665,2.527181,0.891304,1,0
577,0.847402,27.104598,35.590988,35.523397,0.584008,2.427691,0.684211,1,0
37,0.735505,6.863663,32.297297,31.621622,0.770833,0.851672,0.75,1,0
36,0.543906,6.770275,31.611111,30.138889,0.857143,0.803966,0.857143,1,0
580,0.945719,27.174969,41.72931,36.515517,0.357143,5.292473,0.482759,-3,0
157,0.865723,14.13855,30.019108,22.961783,0.534014,1.959948,0.666667,1,0
720,0.480197,30.27759,33.447222,31.341667,0.75,1.094162,0.9375,1,0
66,0.442634,9.166996,30.878788,29.712121,0.733333,0.915566,0.9,1,0
0,0,0,0,0,0,0,0,0,0
30,0.450972,6.180387,32.366667,32.366667,0.833333,0.773019,1,1,0
